Part,Qty,Price (w/ Tax),Link,Owned
Two Way Mirror 18x24,1,$131.86,https://www.amazon.com/SupremeTech-See-Through-Two-Way-Mirror-Tempered/dp/B09SBX9JS2,No
HP Mini,1,-,https://www.amazon.com/HP-Prodesk-600-G3-Computer/dp/B07RLW1QB8,Yes
27" Monitor,1,$63.29,https://www.walmart.com/ip/seort/15706505660,No
20" of 2x2 Lumber,1,$2.97,https://www.homedepot.com/p/2-in-x-2-in-x-8-ft-Furring-Strip-Board-165360/202076422,No
64" of 1x2 Lumber,1,$1.72,https://www.homedepot.com/p/1-in-x-2-in-x-8-ft-Furring-Strip-Board-160954/100009348,No
110" of 1x3 Oak Boards,10,$29.80,https://www.homedepot.com/p/Weaber-1-in-x-3-in-Random-Length-S4S-Oak-Hardwood-Boards-22055/207059034,No
94" of 0.5x3 Oak Board,1,$11.98,https://www.homedepot.com/p/Weaber-1-2-in-x-3-in-x-4-ft-S4S-Oak-Board-27415/207058977,No
JSN-SR04T Ultrasonic Sensor,—,—,https://www.amazon.com/HiLetgo-Integrated-Ultrasonic-Transducer-Waterproof/dp/B07X5H77T7,Yes
IEC Fuse,1,10,https://www.amazon.com/FILSHU-Socket-Module-Wiring%EF%BC%8Ciec320-illuminated/dp/B08L2522DF,No
ESP32,1,18,https://www.amazon.com/HiLetgo-ESP-WROOM-32-Bluetooth-ESP32-DevKitC-32-Development/dp/B0CNYK7WT2/ref=sr_1_2_sspa?dib=eyJ2IjoiMSJ9.qMJJKscaTbDZH8KOrPXaSvL_Wne5ocv0hstobsx2BPxRZhxswDSoA84sKktYY5K4-POEZYa85W79ljFE73xazud66X76xJ5R_C_mREVpeS8L0eeds9uEiyg1kEH-FY1L1X3qvGT1tS2VXli5lwokEq2Eu7PNj6m2O2XuzCIex1J_wlddmR7v14a8MiZHvyLdvR3wBCael7z1MK9nL8nG6xa7NGz2iMOA0oEVPOui0aU.Bski68cJcIyjGGs4OURX38cbTpBKRHduls_TGJnNMgU&dib_tag=se&keywords=esp32+wroom&qid=1775413867&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,No
SHT30 Sensor,—,—,https://www.adafruit.com/product/5064?srsltid=AfmBOorFtoxeVo1_rGB0Ptb9_4VkyDuGQjxKZTMGRHcSOYPGJ1WbQ4jiU8Y,Yes
Logitech C910,—,—,https://www.ebay.com/itm/227025394101?chn=ps&mkevt=1&mkcid=28&google_free_listing_action=view_item,Yes
Estimated Total Project Cost,,$161,,
